date,time,origin,destination,ridership
2026-01-06,08:00,JB Sentral,Woodlands CIQ,320
2026-01-06,08:00,Woodlands CIQ,JB Sentral,320
2026-01-06,09:00,Woodlands CIQ,JB Sentral,318
2026-01-06,10:00,JB Sentral,Woodlands CIQ,322
2026-01-06,11:00,JB Sentral,Woodlands CIQ,283
2026-01-06,11:00,Woodlands CIQ,JB Sentral,319
2026-01-06,12:00,JB Sentral,Woodlands CIQ,229
2026-01-06,12:00,Woodlands CIQ,JB Sentral,315
2026-01-06,13:00,Woodlands CIQ,JB Sentral,199
2026-01-06,14:00,JB Sentral,Woodlands CIQ,239
2026-01-06,15:00,JB Sentral,Woodlands CIQ,322
2026-01-06,15:00,Woodlands CIQ,JB Sentral,157
2026-01-06,16:00,JB Sentral,Woodlands CIQ,322
2026-01-06,16:00,Woodlands CIQ,JB Sentral,80
2026-01-06,17:00,JB Sentral,Woodlands CIQ,321
2026-01-06,17:00,Woodlands CIQ,JB Sentral,208
2026-01-06,18:00,Woodlands CIQ,JB Sentral,320
2026-01-06,19:00,JB Sentral,Woodlands CIQ,316
2026-01-06,20:00,JB Sentral,Woodlands CIQ,315
2026-01-06,20:00,Woodlands CIQ,JB Sentral,320
2026-01-06,21:00,JB Sentral,Woodlands CIQ,314
2026-01-06,21:00,Woodlands CIQ,JB Sentral,321
2026-01-06,22:00,JB Sentral,Woodlands CIQ,281
2026-01-06,22:00,Woodlands CIQ,JB Sentral,173
2026-01-06,23:00,Woodlands CIQ,JB Sentral,77
2026-01-07,05:00,JB Sentral,Woodlands CIQ,640
2026-01-07,06:00,JB Sentral,Woodlands CIQ,640
2026-01-07,07:00,JB Sentral,Woodlands CIQ,640
2026-01-07,08:00,JB Sentral,Woodlands CIQ,320
2026-01-07,08:00,Woodlands CIQ,JB Sentral,321
2026-01-07,09:00,Woodlands CIQ,JB Sentral,321
2026-01-07,10:00,JB Sentral,Woodlands CIQ,321
2026-01-07,11:00,JB Sentral,Woodlands CIQ,271
2026-01-07,11:00,Woodlands CIQ,JB Sentral,323
2026-01-07,12:00,JB Sentral,Woodlands CIQ,244
2026-01-07,12:00,Woodlands CIQ,JB Sentral,320
2026-01-07,13:00,Woodlands CIQ,JB Sentral,225
2026-01-07,14:00,JB Sentral,Woodlands CIQ,237
2026-01-07,15:00,JB Sentral,Woodlands CIQ,319
2026-01-07,15:00,Woodlands CIQ,JB Sentral,163
2026-01-07,16:00,JB Sentral,Woodlands CIQ,321
2026-01-07,16:00,Woodlands CIQ,JB Sentral,75
2026-01-07,17:00,JB Sentral,Woodlands CIQ,324
2026-01-07,17:00,Woodlands CIQ,JB Sentral,235
2026-01-07,18:00,Woodlands CIQ,JB Sentral,320
2026-01-07,19:00,JB Sentral,Woodlands CIQ,321
2026-01-07,20:00,JB Sentral,Woodlands CIQ,320
2026-01-07,20:00,Woodlands CIQ,JB Sentral,320
2026-01-07,21:00,JB Sentral,Woodlands CIQ,321
2026-01-07,21:00,Woodlands CIQ,JB Sentral,323
2026-01-07,22:00,JB Sentral,Woodlands CIQ,272
2026-01-07,22:00,Woodlands CIQ,JB Sentral,201
2026-01-07,23:00,Woodlands CIQ,JB Sentral,54
2026-01-08,05:00,JB Sentral,Woodlands CIQ,640
2026-01-08,06:00,JB Sentral,Woodlands CIQ,640
2026-01-08,07:00,JB Sentral,Woodlands CIQ,640
2026-01-08,08:00,JB Sentral,Woodlands CIQ,317
2026-01-08,08:00,Woodlands CIQ,JB Sentral,321
2026-01-08,09:00,Woodlands CIQ,JB Sentral,321
2026-01-08,11:00,JB Sentral,Woodlands CIQ,326
2026-01-08,12:00,JB Sentral,Woodlands CIQ,208
2026-01-08,12:00,Woodlands CIQ,JB Sentral,324
2026-01-08,13:00,Woodlands CIQ,JB Sentral,322
2026-01-08,14:00,JB Sentral,Woodlands CIQ,232
2026-01-08,15:00,JB Sentral,Woodlands CIQ,324
2026-01-08,15:00,Woodlands CIQ,JB Sentral,145
2026-01-08,16:00,JB Sentral,Woodlands CIQ,320
2026-01-08,16:00,Woodlands CIQ,JB Sentral,126
2026-01-08,17:00,JB Sentral,Woodlands CIQ,322
2026-01-08,17:00,Woodlands CIQ,JB Sentral,253
2026-01-08,18:00,Woodlands CIQ,JB Sentral,320
2026-01-08,19:00,JB Sentral,Woodlands CIQ,320
2026-01-08,20:00,JB Sentral,Woodlands CIQ,320
2026-01-08,20:00,Woodlands CIQ,JB Sentral,320
2026-01-08,21:00,JB Sentral,Woodlands CIQ,322
2026-01-08,21:00,Woodlands CIQ,JB Sentral,322
2026-01-08,22:00,JB Sentral,Woodlands CIQ,229
2026-01-08,22:00,Woodlands CIQ,JB Sentral,295
2026-01-08,23:00,Woodlands CIQ,JB Sentral,102
2026-01-09,05:00,JB Sentral,Woodlands CIQ,637
2026-01-09,06:00,JB Sentral,Woodlands CIQ,640
2026-01-09,07:00,JB Sentral,Woodlands CIQ,639
2026-01-09,08:00,JB Sentral,Woodlands CIQ,321
2026-01-09,08:00,Woodlands CIQ,JB Sentral,317
2026-01-09,09:00,Woodlands CIQ,JB Sentral,320
2026-01-09,10:00,JB Sentral,Woodlands CIQ,317
2026-01-09,11:00,JB Sentral,Woodlands CIQ,183
2026-01-09,11:00,Woodlands CIQ,JB Sentral,320
2026-01-09,12:00,JB Sentral,Woodlands CIQ,218
2026-01-09,12:00,Woodlands CIQ,JB Sentral,315
2026-01-09,13:00,Woodlands CIQ,JB Sentral,321
2026-01-09,14:00,JB Sentral,Woodlands CIQ,234
2026-01-09,15:00,JB Sentral,Woodlands CIQ,326
2026-01-09,15:00,Woodlands CIQ,JB Sentral,319
2026-01-09,16:00,JB Sentral,Woodlands CIQ,325
2026-01-09,16:00,Woodlands CIQ,JB Sentral,322
2026-01-09,17:00,JB Sentral,Woodlands CIQ,323
2026-01-09,17:00,Woodlands CIQ,JB Sentral,322
2026-01-09,18:00,Woodlands CIQ,JB Sentral,320
2026-01-09,19:00,JB Sentral,Woodlands CIQ,323
2026-01-09,20:00,JB Sentral,Woodlands CIQ,320
2026-01-09,20:00,Woodlands CIQ,JB Sentral,320
2026-01-09,21:00,JB Sentral,Woodlands CIQ,320
2026-01-09,21:00,Woodlands CIQ,JB Sentral,326
2026-01-09,22:00,JB Sentral,Woodlands CIQ,305
2026-01-09,22:00,Woodlands CIQ,JB Sentral,323
2026-01-09,23:00,Woodlands CIQ,JB Sentral,320
2026-01-10,05:00,JB Sentral,Woodlands CIQ,163
2026-01-10,06:00,JB Sentral,Woodlands CIQ,351
2026-01-10,07:00,JB Sentral,Woodlands CIQ,491
2026-01-10,08:00,JB Sentral,Woodlands CIQ,321
2026-01-10,08:00,Woodlands CIQ,JB Sentral,323
2026-01-10,09:00,Woodlands CIQ,JB Sentral,323
2026-01-10,10:00,JB Sentral,Woodlands CIQ,322
2026-01-10,11:00,JB Sentral,Woodlands CIQ,304
2026-01-10,11:00,Woodlands CIQ,JB Sentral,326
2026-01-10,12:00,JB Sentral,Woodlands CIQ,291
2026-01-10,12:00,Woodlands CIQ,JB Sentral,322
2026-01-10,13:00,Woodlands CIQ,JB Sentral,316
2026-01-10,14:00,JB Sentral,Woodlands CIQ,321
2026-01-10,15:00,JB Sentral,Woodlands CIQ,324
2026-01-10,15:00,Woodlands CIQ,JB Sentral,318
2026-01-10,16:00,JB Sentral,Woodlands CIQ,322
2026-01-10,16:00,Woodlands CIQ,JB Sentral,319
2026-01-10,17:00,JB Sentral,Woodlands CIQ,321
2026-01-10,17:00,Woodlands CIQ,JB Sentral,322
2026-01-10,18:00,Woodlands CIQ,JB Sentral,324
2026-01-10,19:00,JB Sentral,Woodlands CIQ,324
2026-01-10,20:00,JB Sentral,Woodlands CIQ,321
2026-01-10,20:00,Woodlands CIQ,JB Sentral,257
2026-01-10,21:00,JB Sentral,Woodlands CIQ,321
2026-01-10,21:00,Woodlands CIQ,JB Sentral,217
2026-01-10,22:00,JB Sentral,Woodlands CIQ,319
2026-01-10,22:00,Woodlands CIQ,JB Sentral,169
2026-01-10,23:00,Woodlands CIQ,JB Sentral,116
2026-01-11,05:00,JB Sentral,Woodlands CIQ,120
2026-01-11,06:00,JB Sentral,Woodlands CIQ,161
2026-01-11,07:00,JB Sentral,Woodlands CIQ,301
2026-01-11,08:00,JB Sentral,Woodlands CIQ,323
2026-01-11,08:00,Woodlands CIQ,JB Sentral,319
2026-01-11,09:00,Woodlands CIQ,JB Sentral,321
2026-01-11,10:00,JB Sentral,Woodlands CIQ,325
2026-01-11,11:00,JB Sentral,Woodlands CIQ,327
2026-01-11,11:00,Woodlands CIQ,JB Sentral,324
2026-01-11,12:00,JB Sentral,Woodlands CIQ,321
2026-01-11,12:00,Woodlands CIQ,JB Sentral,320
2026-01-11,13:00,Woodlands CIQ,JB Sentral,239
2026-01-11,14:00,JB Sentral,Woodlands CIQ,319
2026-01-11,15:00,JB Sentral,Woodlands CIQ,320
2026-01-11,15:00,Woodlands CIQ,JB Sentral,187
2026-01-11,16:00,JB Sentral,Woodlands CIQ,322
2026-01-11,16:00,Woodlands CIQ,JB Sentral,78
2026-01-11,17:00,JB Sentral,Woodlands CIQ,325
2026-01-11,17:00,Woodlands CIQ,JB Sentral,125
2026-01-11,18:00,Woodlands CIQ,JB Sentral,105
2026-01-11,19:00,JB Sentral,Woodlands CIQ,320
2026-01-11,20:00,JB Sentral,Woodlands CIQ,322
2026-01-11,20:00,Woodlands CIQ,JB Sentral,84
2026-01-11,21:00,JB Sentral,Woodlands CIQ,320
2026-01-11,21:00,Woodlands CIQ,JB Sentral,65
2026-01-11,22:00,JB Sentral,Woodlands CIQ,320
2026-01-11,22:00,Woodlands CIQ,JB Sentral,86
2026-01-11,23:00,Woodlands CIQ,JB Sentral,34
2026-01-12,05:00,JB Sentral,Woodlands CIQ,640
2026-01-12,06:00,JB Sentral,Woodlands CIQ,639
2026-01-12,07:00,JB Sentral,Woodlands CIQ,640
2026-01-12,08:00,JB Sentral,Woodlands CIQ,320
